'peppegiustolisi', 1, '#Sicilia #Grillo : "Le regionali sono un referendum". Tra parentopoli e impresentabili. #elezionisicilia #M5s #30ottobre', '#Sicilia #Grillo #elezionisicilia #M5s #30ottobre'
'Sabina1956', 3, '. #RegionaliSicilia , #Musumeci dice che nella"sua"lista non ci sono #impresentabili . Certo, stanno nelle liste civetta, civiche, chiaviche...', '#RegionaliSicilia #Musumeci #impresentabili'
'soniabetz1', 5, 'non ricordo neanche il nome del candidato #RegionaliSicilia #CancelleriPresidente pic.twitter.com/xz4DUvRTf6', '#RegionaliSicilia #CancelleriPresidente'
'PaoloBoral', 2, 'Chi voterai o voteresti alle regionali in Sicilia ? #Musumeci #Cancelleri #Micari #Fava #inmezzora', '#Musumeci #Cancelleri #Micari #Fava #inmezzora'
'federainbow', 0, "Voto disgiunto mi salva dall'indecisione #5novembre #regionalisicilia #votiamo #noastensionismo", '#5novembre #regionalisicilia #votiamo #noastensionismo'
'momentosera', 1, u'Silvio #Berlusconi in campo per prossime elezioni regionali in #Sicilia : \xabMeno tasse e burocrazia, pi\xf9 sicurezza\xbb http:// ow.ly/QSwE30gcrbP pic.twitter.com/5Sni0nLViK', u'#Berlusconi #Sicilia'
'ventezurbaine', 3, u'ECCO IL VOLTO DELLA SICILIA A 5STELLE Mogli, fidanzati e assistenti #M5S corrono per le Regionali . MAH.... http://www. ilpopulista.it/news/29-Ottobr e-2017/19927/regionali-siciliane-parenti-e-portaborse-nella-lista-dei-grillini-e-c-e-pure-l-immigrato.html \u2026', u'#M5S'
'emanuelapatti', 4, '#RegionaliSicilia Ricorda per sempre il 5 novembre... https:// youtu.be/G4h7NGMz2RI #M5S', '#RegionaliSicilia #M5S'
'emanuelbutti', 0, '#Alcamo , intervista a @Musumeci_Staff https:// youtu.be/1NyhX63zT38 via @YouTube #MusumeciPresidente #Regionali #Sicilia', '#Alcamo #MusumeciPresidente #Regionali #Sicilia'
'maximilian1971', 0, 'ah. pensavamo ad incontrare i candidati della lista Musumeci #regionali #Sicilia #listepulite', '#regionali #Sicilia #listepulite'
'lucianoaforte', 0, "#gentiloni commento' risultati #ungheria #germania . Mi sa che lunedi 6 nov per commentare risultati #regionali #sicilia ritorna #stitico", '#gentiloni #ungheria #germania #regionali #sicilia #stitico'
'leonardo_alagna', 0, 'Come votare per le #elezioni #regionali in #sicilia . Qui un video che lo spiega http:// goo.gl/CajTWL #favapresidente @OssDirittiScuol', '#elezioni #regionali #sicilia #favapresidente'
'paolocristallo', 6, u'Elezioni Sicilia , il governo Renzi- #Berlusconi c\u2019\xe8 gi\xe0: dopo le regionali pezzi del #Pd pronti a sostenere #Musumeci http://www. ilfattoquotidiano.it/2017/10/28/ele zioni-sicilia-il-governo-renzi-berlusconi-ce-gia-dopo-le-regionali-pezzi-del-pd-pronti-a-sostenere-musumeci/3941700/ \u2026', u'#Berlusconi #Pd #Musumeci'
